date,pre,hum,tem,ven,occ
2020-05-14 21:08:30,94270.77,54.49,30.99,1.0,L
2020-05-14 21:09:00,94269.89,55.02,30.98,1.0,L
2020-05-14 21:09:30,94269.13,54.26,31.0,1.0,L
2020-05-14 21:10:00,94270.25,54.4,31.0,1.0,L
2020-05-14 21:10:30,94265.78,54.27,31.02,1.0,L
2020-05-14 21:11:00,94267.41,54.48,31.01,1.0,L
2020-05-14 21:11:30,94265.09,54.0,31.02,1.0,L
2020-05-14 21:12:00,94267.33,54.29,31.03,1.0,L
2020-05-14 21:12:30,94266.52,54.1,31.01,1.0,L
2020-05-14 21:13:00,94265.66,54.26,30.99,1.0,L
2020-05-14 21:13:30,94268.98,54.41,30.99,1.0,L
2020-05-14 21:14:00,94266.57,54.61,31.01,1.0,L
2020-05-14 21:14:30,94268.58,54.11,31.04,1.0,L
2020-05-14 21:15:00,94268.28,54.83,31.04,1.0,L
2020-05-14 21:15:30,94272.62,55.04,31.05,1.0,L
2020-05-14 21:16:00,94272.91,54.96,31.04,1.0,L
2020-05-14 21:16:30,94273.7,54.26,30.99,1.0,L
2020-05-14 21:17:00,94271.97,55.11,31.01,1.0,L
2020-05-14 21:17:30,94273.75,54.88,31.02,1.0,L
2020-05-14 21:18:00,94272.86,54.88,31.03,1.0,L
2020-05-14 21:18:30,94272.61,54.8,31.0,1.0,L
2020-05-14 21:19:00,94274.49,54.86,30.99,1.0,L
2020-05-14 21:19:30,94276.02,54.87,30.99,1.0,L
2020-05-14 21:20:00,94278.38,54.92,30.99,1.0,L
2020-05-14 21:20:30,94270.83,54.97,30.95,1.0,L
2020-05-14 21:21:00,94273.84,55.03,30.94,1.0,L
2020-05-14 21:21:30,94270.37,55.09,30.91,1.0,L
2020-05-14 21:22:00,94272.42,55.14,30.91,1.0,L
2020-05-14 21:22:30,94269.94,55.18,30.91,1.0,L
2020-05-14 21:23:00,94269.5,55.15,30.9,1.0,L
2020-05-14 21:23:30,94271.34,55.21,30.91,1.0,L
2020-05-14 21:24:00,94270.85,55.21,30.9,1.0,L
2020-05-14 21:24:30,94270.89,55.21,30.91,1.0,L
2020-05-14 21:25:00,94268.48,55.25,30.91,1.0,M
2020-05-14 21:25:30,94273.3,55.32,30.92,1.0,M
2020-05-14 21:26:00,94268.97,55.34,30.92,1.0,M
2020-05-14 21:26:30,94269.03,55.37,30.89,1.0,M
2020-05-14 21:27:00,94275.94,55.39,30.89,1.0,L
2020-05-14 21:27:30,94272.25,55.48,30.91,1.0,L
2020-05-14 21:28:00,94276.22,55.43,30.92,1.0,L
2020-05-14 21:28:30,94276.06,55.45,30.91,1.0,L
2020-05-14 21:29:00,94279.28,55.48,30.9,1.0,L
2020-05-14 21:29:30,94278.37,55.48,30.88,1.0,L
2020-05-14 21:30:00,94276.06,55.58,30.89,1.0,L
2020-05-14 21:30:30,94276.97,55.57,30.88,1.0,L
2020-05-14 21:31:00,94279.77,55.57,30.89,1.0,L
2020-05-14 21:31:30,94278.57,55.58,30.89,1.0,L
2020-05-14 21:32:00,94278.22,55.66,30.88,1.0,L
2020-05-14 21:32:30,94280.83,55.63,30.89,1.0,L
2020-05-14 21:33:00,94278.02,55.63,30.89,1.0,L
2020-05-14 21:33:30,94280.61,55.61,30.89,1.0,L
2020-05-14 21:34:00,94277.8,55.61,30.89,1.0,L
2020-05-14 21:34:30,94277.26,55.6,30.9,1.0,L
2020-05-14 21:35:00,94277.91,55.58,30.91,1.0,L
2020-05-14 21:35:30,94276.94,55.58,30.92,1.0,L
2020-05-14 21:36:00,94276.84,55.56,30.92,1.0,L
2020-05-14 21:36:30,94280.69,55.54,30.94,1.0,L
2020-05-14 21:37:00,94279.88,55.61,30.95,1.0,L
2020-05-14 21:37:30,94277.91,55.65,30.95,1.0,L
2020-05-14 21:38:00,94279.28,55.64,30.97,1.0,L
2020-05-14 21:38:30,94281.75,55.68,30.97,1.0,L
