date,pre,hum,tem,ven,occ
2020-05-14 21:05:00,94269.77,54.45,30.99,1.0,L
2020-05-14 21:10:00,94266.83,54.26,31.01,1.0,L
2020-05-14 21:15:00,94272.6,54.85,31.01,1.0,L
2020-05-14 21:20:00,94271.31,55.12,30.92,1.0,L
2020-05-14 21:25:00,94274.32,55.42,30.9,1.0,L
2020-05-14 21:30:00,94278.31,55.59,30.89,1.0,L
2020-05-14 21:35:00,94279.45,55.64,30.94,1.0,L
2020-05-14 21:40:00,94281.94,55.83,30.95,1.0,L
2020-05-14 21:45:00,94285.85,55.98,30.93,1.0,L
2020-05-14 21:50:00,94291.13,56.1,30.94,1.0,L
2020-05-14 21:55:00,94292.5,56.1,30.93,1.0,L
2020-05-14 22:00:00,94295.63,56.12,30.92,1.0,L
2020-05-14 22:05:00,94300.54,56.05,30.94,1.0,L
2020-05-14 22:10:00,94301.55,56.15,30.92,1.0,L
2020-05-14 22:15:00,94308.02,56.17,30.92,1.0,L
2020-05-14 22:20:00,94309.81,56.22,30.89,1.0,L
2020-05-14 22:25:00,94308.7,56.3,30.88,1.0,L
2020-05-14 22:30:00,94313.45,56.37,30.86,1.0,L
2020-05-14 22:35:00,94321.38,56.45,30.87,1.0,L
2020-05-14 22:40:00,94328.24,56.55,30.89,1.0,L
2020-05-14 22:45:00,94330.26,56.44,30.92,1.0,L
2020-05-14 22:50:00,94334.19,56.33,30.91,1.0,L
2020-05-14 22:55:00,94339.17,56.37,30.92,1.0,L
2020-05-14 23:00:00,94332.82,56.44,30.93,1.0,M
2020-05-14 23:05:00,94343.5,56.72,30.97,1.0,M
2020-05-14 23:10:00,94347.04,56.88,31.03,1.0,M
2020-05-14 23:15:00,94350.17,57.85,31.12,1.0,M
2020-05-14 23:20:00,94353.39,59.38,30.99,1.0,M
2020-05-14 23:25:00,94355.84,59.13,31.01,1.0,H
2020-05-14 23:30:00,94358.64,59.29,31.01,2.0,H
2020-05-14 23:35:00,94366.85,58.75,31.03,2.0,H
2020-05-14 23:40:00,94372.36,58.21,31.02,2.0,H
2020-05-14 23:45:00,94374.11,58.0,30.92,2.0,H
2020-05-14 23:50:00,94374.76,58.17,30.92,2.0,H
2020-05-14 23:55:00,94372.51,58.69,30.91,2.0,H
2020-05-15 00:00:00,94370.77,58.81,30.95,2.0,H
2020-05-15 00:05:00,94364.47,59.1,30.86,2.0,H
2020-05-15 00:10:00,94358.37,59.33,30.76,2.0,H
2020-05-15 00:15:00,94355.18,59.62,30.82,2.0,M
2020-05-15 00:20:00,94353.31,59.56,30.69,2.0,M
2020-05-15 00:25:00,94347.63,60.32,30.47,2.0,M
2020-05-15 00:30:00,94341.88,60.66,30.36,2.0,M
2020-05-15 00:35:00,94339.94,60.74,30.39,2.0,M
2020-05-15 00:40:00,94340.78,60.69,30.32,2.0,M
2020-05-15 00:45:00,94338.49,60.79,30.3,2.0,M
2020-05-15 00:50:00,94331.56,61.17,30.39,2.0,M
2020-05-15 00:55:00,94331.53,61.06,30.51,1.0,M
2020-05-15 01:00:00,94328.53,60.97,30.56,1.0,M
2020-05-24 11:45:00,94258.37,53.79,31.56,2.0,H
2020-05-24 11:50:00,94256.12,53.82,31.61,2.0,H
2020-05-24 11:55:00,94255.59,53.88,31.65,2.0,H
2020-05-24 12:00:00,94259.51,53.8,31.66,2.0,M
2020-05-24 12:05:00,94258.01,53.62,31.68,2.0,M
2020-05-24 12:10:00,94252.68,53.56,31.63,2.0,M
2020-05-24 12:15:00,94251.83,53.32,31.5,2.0,M
2020-05-24 12:20:00,94254.68,53.12,31.43,2.0,M
2020-05-24 12:25:00,94260.67,53.12,31.39,2.0,M
2020-05-24 12:30:00,94258.87,52.95,31.43,2.0,M
2020-05-24 12:35:00,94253.23,53.17,31.5,2.0,M
2020-05-24 12:40:00,94247.22,54.26,31.63,2.0,M
2020-05-24 12:45:00,94240.79,54.23,31.69,2.0,M
2020-05-24 12:50:00,94238.42,53.43,31.81,2.0,L
2020-05-24 12:55:00,94242.75,52.69,31.91,2.0,L
2020-05-24 13:00:00,94234.7,52.79,31.99,2.0,L
2020-05-24 13:05:00,94229.85,52.84,32.07,2.0,L
2020-05-25 15:45:00,93948.34,53.3,32.03,1.0,M
2020-05-25 15:50:00,93946.21,53.19,32.1,1.0,M
2020-05-25 15:55:00,93940.45,52.78,32.25,1.0,M
2020-05-25 16:00:00,93936.82,52.32,32.39,1.0,M
2020-05-25 16:05:00,93931.87,51.67,32.4,1.0,M
2020-05-25 16:10:00,93918.85,51.07,32.34,1.0,M
2020-05-25 16:15:00,93908.39,50.53,32.25,1.0,M
2020-05-25 16:20:00,93911.13,50.04,32.16,1.0,M
2020-05-25 16:25:00,93906.61,50.88,32.17,1.0,M
2020-05-25 16:30:00,93901.19,50.24,32.18,1.0,M
2020-05-25 16:35:00,93900.89,49.63,32.12,1.0,M
2020-05-25 16:40:00,93900.83,50.31,32.15,1.0,M
2020-05-25 16:45:00,93889.9,49.39,32.15,1.0,M
2020-05-25 16:50:00,93882.62,49.63,32.15,1.0,M
2020-05-25 16:55:00,93882.42,49.87,32.23,1.0,M
