date,pre,hum,tem,occ
2019-10-01 11:34:20,95363.31,56.62,28.37,M
2019-09-23 17:37:10,95241.68,52.32,27.42,H
2019-09-24 15:56:00,94992.96,58.2,28.49,M
2019-09-18 19:04:50,95005.26,59.29,27.05,M
2019-09-24 11:51:40,95360.25,58.98,27.2,M
2019-09-25 12:13:00,95239.72,55.42,27.51,L
2019-09-25 12:20:10,95240.49,55.4,27.34,L
2019-09-24 11:44:20,95358.82,58.35,27.49,M
2019-09-25 12:08:40,95245.06,55.24,27.66,L
2019-09-23 14:01:30,95441.89,55.09,27.84,M
2019-09-24 11:44:00,95360.67,58.76,27.45,M
2019-09-24 16:03:50,94987.41,53.3,28.64,M
2019-09-24 16:14:50,94974.24,52.45,28.58,M
2019-10-01 11:31:40,95359.68,57.4,28.22,M
2019-10-01 11:36:50,95364.54,56.24,28.47,M
2019-09-24 19:05:30,94910.33,55.49,29.35,H
2019-09-23 17:45:20,95235.62,55.45,26.84,H
2019-09-24 19:09:00,94910.14,53.78,29.82,H
2019-09-24 11:53:30,95358.63,58.71,27.27,M
2019-09-24 19:14:00,94919.76,56.7,29.31,H
2019-10-02 20:28:30,95172.91,61.18,27.11,L
2019-09-18 19:22:50,95012.17,56.0,27.85,M
2019-09-24 19:15:30,94919.45,57.23,29.28,H
2019-09-18 19:10:10,95005.08,59.75,26.78,M
2019-09-24 19:11:00,94914.48,56.18,29.54,H
2019-09-25 12:09:50,95246.62,54.69,27.65,L
2019-10-02 20:31:00,95176.39,60.95,27.13,L
2019-10-02 20:34:10,95181.15,60.73,27.14,L
2019-09-23 14:02:50,95444.56,55.41,27.66,M
2019-09-23 14:02:10,95443.31,55.68,27.71,M
2019-09-18 19:10:40,95006.64,59.32,26.83,M
2019-09-25 12:11:10,95247.46,55.12,27.65,L
2019-09-24 11:44:10,95359.31,58.44,27.46,M
2019-09-23 17:47:40,95230.21,56.07,26.78,H
2019-09-24 19:02:50,94905.79,56.52,29.25,H
2019-09-23 17:49:30,95232.93,56.38,26.81,H
2019-09-23 17:42:30,95238.88,54.79,26.9,H
2019-09-24 16:15:40,94975.82,52.27,28.61,M
2019-09-24 11:50:50,95360.25,58.89,27.22,M
2019-10-01 11:31:30,95360.2,57.38,28.19,M
2019-09-24 19:00:00,94903.57,58.22,28.98,H
2019-09-18 19:07:00,95006.56,58.09,26.93,M
2019-09-24 16:02:00,94995.24,53.76,28.81,M
2019-10-02 20:35:50,95180.82,60.45,27.16,L
2019-09-23 17:45:10,95233.29,55.29,26.84,H
2019-09-24 12:03:40,95342.62,58.63,27.36,M
2019-09-25 12:23:10,95238.32,55.54,27.31,L
2019-09-18 19:14:20,95006.08,58.79,26.73,M
2019-09-18 19:17:10,95011.99,57.57,27.28,M
2019-10-01 11:41:40,95361.36,56.0,28.58,M
2019-09-23 17:35:20,95233.4,51.52,27.92,H
2019-09-24 11:52:00,95361.16,58.57,27.22,M
2019-09-23 14:06:40,95427.72,56.24,27.37,M
2019-09-25 12:22:00,95239.44,55.56,27.37,L
2019-09-24 11:52:30,95359.88,59.19,27.22,M
2019-10-02 20:47:50,95198.96,59.08,27.27,L
