date,pre,hum,tem,occ
2019-09-25 12:25:30,95232.95,55.59,27.37,L
2019-09-25 12:13:00,95240.48,55.41,27.52,L
2019-10-01 11:42:30,95359.7,55.91,28.58,M
2019-09-18 19:14:30,94997.44,59.35,26.75,M
2019-09-24 11:57:30,95358.19,59.19,27.21,M
2019-10-02 20:28:30,95171.98,61.04,27.1,L
2019-09-23 14:00:00,95443.2,54.72,28.15,M
2019-10-01 11:31:30,95359.66,57.37,28.18,M
2019-10-01 11:35:00,95364.38,56.5,28.43,M
2019-09-24 16:11:00,94981.66,53.2,28.57,M
2019-09-24 19:19:30,94916.66,56.34,29.54,H
2019-09-24 19:10:30,94913.06,56.21,29.5,H
2019-10-01 11:33:30,95363.27,56.76,28.3,M
2019-09-18 19:15:00,95010.7,58.69,26.8,M
2019-09-25 12:24:00,95234.78,55.45,27.31,L
2019-09-25 12:12:30,95242.03,55.42,27.54,L
2019-09-24 12:04:30,95341.59,62.4,28.6,M
2019-09-25 12:06:00,95238.48,63.04,27.01,L
2019-09-23 17:35:00,95235.95,52.24,27.91,H
2019-09-24 11:53:00,95358.39,58.6,27.24,M
2019-09-18 19:10:00,95002.49,61.06,26.79,M
2019-09-24 19:18:30,94915.55,56.86,29.37,H
2019-10-02 20:32:00,95180.55,60.64,27.13,L
2019-10-01 11:32:00,95358.27,57.48,28.22,M
2019-09-25 12:19:30,95240.61,55.52,27.37,L
2019-09-18 19:12:30,95009.24,58.48,26.82,M
2019-09-24 16:09:00,94983.8,53.29,28.63,M
2019-09-24 11:51:00,95361.38,58.8,27.21,M
2019-10-01 11:28:30,95359.05,58.74,27.87,M
2019-09-24 19:16:30,94916.88,58.43,29.33,H
2019-10-02 20:44:30,95193.02,59.61,27.26,L
2019-09-24 15:56:30,94998.2,56.03,28.39,M
2019-10-01 11:43:00,95360.48,55.99,28.63,M
2019-10-01 11:26:30,95361.56,61.96,27.51,M
2019-10-01 11:42:00,95361.42,55.92,28.61,M
2019-09-24 16:08:30,94976.86,53.34,28.6,M
2019-10-01 11:34:00,95361.29,56.66,28.31,M
2019-09-24 15:56:00,94990.08,59.46,28.49,M
2019-09-23 17:42:30,95243.18,54.99,26.92,H
2019-09-18 19:04:30,95009.35,60.66,27.11,M
2019-09-24 16:06:30,94987.52,53.73,28.7,M
2019-09-18 19:08:00,95006.38,58.23,26.93,M
2019-09-25 12:20:00,95237.32,55.35,27.34,L
2019-09-25 12:08:00,95246.25,56.08,27.57,L
2019-09-24 15:58:00,94993.47,55.11,28.47,M
2019-10-01 11:26:00,95350.44,64.44,27.34,M
2019-09-24 11:52:00,95364.07,58.83,27.22,M
2019-09-24 19:03:00,94907.77,56.55,29.23,H
2019-09-25 12:23:30,95236.79,55.47,27.31,L
2019-09-25 12:12:00,95245.67,55.04,27.59,L
2019-10-01 11:44:00,95358.23,56.06,28.61,M
2019-09-18 19:06:30,95005.94,58.11,26.94,M
2019-09-18 19:20:30,95013.91,55.85,27.8,M
2019-10-02 20:38:30,95190.38,59.75,27.29,L
2019-10-02 20:30:30,95175.58,60.89,27.13,L
2019-09-18 19:21:00,95015.65,55.82,27.74,M
2019-09-24 16:13:30,94974.86,52.7,28.48,M
2019-09-23 17:50:30,95238.25,56.4,26.8,H
2019-09-23 17:44:30,95235.02,55.25,26.84,H
2019-09-24 19:07:30,94904.82,54.27,29.6,H
2019-09-24 15:58:30,94990.42,54.87,28.53,M
2019-10-02 20:45:00,95202.3,59.44,27.23,L
2019-09-24 16:12:00,94976.88,53.13,28.51,M
2019-09-24 16:03:30,94987.88,53.07,28.71,M
2019-09-24 11:44:00,95362.11,58.83,27.44,M
2019-09-23 13:58:30,95444.53,55.52,28.24,M
2019-10-01 11:29:30,95354.5,58.26,28.0,M
2019-09-24 16:09:30,94980.67,53.05,28.6,M
2019-09-23 17:38:30,95245.63,53.3,27.16,H
2019-09-24 12:03:00,95343.67,60.96,27.22,M
2019-10-02 20:40:00,95188.21,59.92,27.25,L
2019-10-02 20:43:30,95195.48,59.42,27.23,L
2019-09-24 19:01:00,94912.53,57.08,29.04,H
2019-09-18 19:18:30,95014.02,57.22,27.71,M
2019-09-25 12:08:30,95245.2,55.35,27.63,L
2019-10-02 20:33:00,95179.48,60.93,27.16,L
2019-09-18 19:17:30,95011.34,57.28,27.37,M
2019-09-24 19:15:00,94915.08,56.95,29.35,H
2019-09-24 16:07:30,94982.25,53.58,28.74,M
2019-09-24 16:05:00,94986.99,53.79,28.64,M
2019-09-24 12:03:30,95343.34,57.62,27.3,M
2019-10-02 20:34:00,95180.11,60.62,27.14,L
2019-10-02 20:38:00,95186.78,59.8,27.32,L
2019-09-25 12:07:30,95244.2,57.14,27.42,L
2019-09-25 12:10:30,95246.91,54.86,27.65,L
2019-09-18 19:21:30,95016.95,55.56,27.81,M
