date,pre,hum,tem,occ
2019-09-25 12:15:00,95239.44,55.72,27.45,L
2019-09-25 12:05:00,95243.94,56.06,27.54,L
2019-09-24 16:00:00,94990.26,53.72,28.72,M
2019-10-02 20:35:00,95185.23,60.16,27.28,L
2019-09-18 19:10:00,95006.37,58.81,26.8,M
2019-10-02 20:45:00,95197.8,59.15,27.25,L
2019-09-24 12:00:00,95342.95,60.03,27.64,M
2019-09-24 11:45:00,95355.92,58.13,27.37,M
2019-09-24 16:10:00,94977.02,53.12,28.49,M
2019-09-24 11:50:00,95358.96,58.84,27.23,M
2019-10-02 20:30:00,95178.49,60.72,27.14,L
2019-09-23 14:05:00,95429.0,56.34,27.4,M
2019-09-23 17:50:00,95241.74,56.72,26.82,H
2019-09-23 13:45:00,95211.17,59.6,25.91,M
2019-09-24 11:55:00,95360.18,59.21,27.22,M
2019-09-25 12:20:00,95237.93,55.59,27.34,L
2019-09-24 11:40:00,95354.62,58.31,27.38,M
2019-10-01 11:25:00,95359.06,60.33,27.64,M
2019-09-23 14:00:00,95441.08,55.32,27.74,M
2019-10-01 11:20:00,95356.0,60.87,26.87,M
2019-09-18 19:05:00,95004.75,58.72,26.91,M
2019-09-24 19:10:00,94914.82,56.56,29.4,H
2019-09-23 17:45:00,95231.79,55.94,26.82,H
2019-09-25 12:25:00,95232.87,55.46,27.35,L
2019-09-24 19:00:00,94906.57,56.83,29.13,H
2019-09-23 13:55:00,95441.71,55.47,28.23,M
2019-09-24 16:15:00,94972.66,52.55,28.57,M
2019-10-01 11:30:00,95360.52,57.22,28.25,M
2019-09-24 16:05:00,94983.47,53.69,28.65,M
2019-09-24 15:55:00,94993.4,55.24,28.52,M
2019-09-23 17:30:00,95231.22,52.78,28.67,H
2019-10-02 20:25:00,95173.6,60.93,27.13,L
2019-10-02 20:40:00,95192.42,59.55,27.24,L
2019-09-18 19:15:00,95012.27,57.36,27.37,M
2019-09-18 19:00:00,95005.7,59.44,27.11,M
