date,pre,hum,tem,occ
2019-09-25 12:15:00,95238.13,55.78,27.51,L
2019-09-25 12:05:00,95238.48,63.04,27.01,L
2019-09-24 16:00:00,94992.47,54.4,28.72,M
2019-10-02 20:35:00,95180.09,60.66,27.16,L
2019-09-18 19:10:00,95002.49,61.06,26.79,M
2019-10-02 20:45:00,95202.3,59.44,27.23,L
2019-09-24 12:00:00,95343.67,60.96,27.22,M
2019-09-24 11:45:00,95358.44,57.81,27.51,M
2019-09-24 16:10:00,94981.59,53.46,28.56,M
2019-09-24 11:50:00,95356.6,58.82,27.27,M
2019-10-02 20:30:00,95173.5,60.59,27.12,L
2019-09-23 14:05:00,95434.87,55.96,27.5,M
2019-09-23 17:50:00,95234.38,56.49,26.81,H
2019-09-23 13:45:00,95210.48,59.5,25.95,M
2019-09-24 11:55:00,95359.52,59.21,27.25,M
2019-09-25 12:20:00,95237.32,55.35,27.34,L
2019-09-24 11:40:00,95352.31,57.63,26.99,M
2019-10-01 11:25:00,95359.94,61.18,26.94,M
2019-09-23 14:00:00,95443.2,54.72,28.15,M
2019-10-01 11:20:00,95357.56,59.89,26.78,M
2019-09-18 19:05:00,95007.0,59.27,27.05,M
2019-09-24 19:10:00,94899.38,57.17,29.88,H
2019-09-23 17:45:00,95231.63,55.56,26.85,H
2019-09-25 12:25:00,95236.37,55.5,27.37,L
2019-09-24 19:00:00,94904.39,57.83,28.93,H
2019-09-23 13:55:00,95439.91,55.6,28.35,M
2019-09-24 16:15:00,94973.48,52.4,28.57,M
2019-10-01 11:30:00,95357.92,58.09,28.06,M
2019-09-24 16:05:00,94986.99,53.79,28.64,M
2019-09-24 15:55:00,94990.08,59.46,28.49,M
2019-09-23 17:30:00,95230.11,51.07,28.64,H
2019-10-02 20:25:00,95175.83,61.08,27.1,L
2019-10-02 20:40:00,95188.21,59.92,27.25,L
2019-09-18 19:15:00,95010.7,58.69,26.8,M
2019-09-18 19:00:00,95006.28,58.69,27.17,M
