date,pre,hum,tem,occ
2020-05-31 19:20:00,94841.58,47.97,30.89,H
2020-05-25 15:57:00,93940.72,52.74,32.25,M
2020-05-24 12:04:00,94259.18,53.67,31.66,M
2020-05-26 11:13:00,94879.86,70.61,27.2,L
2020-06-01 08:37:00,95181.18,67.59,25.62,E
2020-05-26 05:06:00,94521.9,51.15,29.81,L
2020-06-01 05:26:00,95046.25,57.48,29.44,L
2020-06-04 13:30:00,94614.05,56.85,30.8,L
2020-05-29 05:15:00,95054.47,53.41,30.98,L
2020-05-28 01:28:00,94454.03,53.84,30.75,L
2020-05-28 11:25:00,94809.45,58.45,30.53,L
2020-05-14 21:38:00,94280.69,55.67,30.96,L
2020-05-28 09:24:00,94811.79,62.44,29.82,L
2020-05-28 05:41:00,94730.4,56.94,30.92,L
2020-05-14 23:55:00,94373.31,58.17,30.91,H
2020-05-27 09:49:00,94828.36,62.95,27.6,L
2020-05-26 00:35:00,94343.8,52.87,31.72,L
2020-06-04 07:18:00,94629.03,62.13,29.82,E
2020-05-28 09:02:00,94792.39,63.67,29.49,L
2020-05-14 21:30:00,94277.33,55.55,30.89,L
2020-05-29 00:36:00,95139.26,48.2,31.7,M
2020-05-27 06:54:00,94763.49,56.3,29.52,L
2020-05-25 23:24:00,94146.6,59.55,33.33,M
2020-06-04 03:49:00,94589.25,57.42,30.62,L
2020-05-29 06:19:00,95031.74,53.67,30.92,L
2020-05-29 03:55:00,94975.8,52.44,31.13,L
2020-05-25 22:01:00,94040.84,49.47,32.06,L
2020-05-29 05:06:00,95079.34,53.18,31.04,L
2020-06-04 03:13:00,94592.12,55.01,30.57,L
2020-05-27 01:47:00,94841.23,58.46,29.06,L
2020-06-04 03:38:00,94578.98,57.2,30.58,L
2020-05-26 01:19:00,94372.82,47.98,31.8,L
2020-05-28 04:11:00,94479.9,56.07,31.02,L
2020-06-04 20:31:00,94472.58,53.9,31.5,L
2020-06-01 07:57:00,95117.85,62.92,26.71,E
2020-06-04 14:56:00,94520.96,54.01,30.85,E
2020-05-26 04:59:00,94525.3,50.93,29.95,L
2020-05-27 06:05:00,94734.21,56.18,29.6,L
2020-06-04 12:48:00,94661.17,60.31,30.71,L
2020-05-28 01:12:00,94465.39,56.88,30.36,L
2020-05-25 20:12:00,93829.77,41.85,32.61,L
2020-05-31 19:29:00,94892.14,49.3,30.66,M
2020-06-01 12:14:00,95212.69,58.84,29.24,M
2020-05-28 02:38:00,94430.45,54.88,31.06,L
2020-05-28 11:00:00,94832.91,58.74,30.51,L
2020-05-27 02:27:00,94798.71,57.21,29.59,L
2020-06-04 05:21:00,94571.14,59.35,30.55,L
2020-05-28 09:17:00,94807.17,62.93,29.73,L
2020-06-01 08:52:00,95201.92,68.91,25.81,E
2020-05-29 05:00:00,95095.45,53.15,31.06,L
2020-05-27 07:02:00,94760.43,56.32,29.53,L
2020-05-29 02:03:00,95330.58,51.61,30.94,L
2020-06-04 19:37:00,94416.58,53.11,31.53,M
2020-05-31 19:08:00,94831.21,48.46,30.81,H
2020-06-04 18:46:00,94399.08,49.4,31.43,M
2020-05-26 02:51:00,94208.01,55.76,30.01,L
2020-05-28 13:00:00,94892.95,56.67,30.38,E
2020-05-26 23:44:00,94849.39,59.77,28.5,E
2020-06-04 16:00:00,94462.82,51.97,31.18,L
2020-06-01 10:07:00,95253.38,62.17,28.16,E
2020-06-04 02:33:00,94620.14,53.8,30.75,L
2020-06-04 09:41:00,94721.52,61.67,29.98,L
2020-05-27 03:31:00,94759.56,56.73,29.71,L
