date,pre,hum,tem,occ
2020-05-28 09:30:00,94823.63,62.38,29.92,L
2020-05-28 02:25:00,94441.06,54.7,31.09,L
2020-06-04 10:00:00,94710.7,61.26,30.07,E
2020-06-04 05:45:00,94565.78,59.59,30.53,L
2020-06-04 09:35:00,94723.59,61.39,30.02,L
2020-05-28 03:30:00,94402.62,55.31,31.02,L
2020-05-29 00:00:00,95053.27,43.5,32.06,L
2020-05-29 00:10:00,95098.91,41.85,32.05,M
2020-06-04 11:15:00,94694.8,60.27,30.59,L
2020-05-25 19:45:00,93777.72,45.74,32.66,L
2020-05-29 08:05:00,95131.33,53.03,29.35,L
2020-05-15 00:10:00,94364.44,59.18,30.82,H
2020-06-01 11:05:00,95239.53,61.41,28.44,E
2020-06-04 12:20:00,94674.25,60.23,30.64,L
2020-05-27 07:25:00,94783.64,62.8,27.0,E
2020-05-25 23:30:00,94172.13,50.71,32.71,M
2020-05-25 23:10:00,94143.05,51.61,32.38,L
2020-05-15 00:25:00,94353.58,60.01,30.51,M
2020-05-28 03:15:00,94396.38,55.23,30.99,L
2020-05-29 01:40:00,95394.96,51.21,31.01,L
2020-06-01 02:05:00,95121.48,56.37,29.61,L
2020-06-01 10:05:00,95253.23,62.28,28.1,E
2020-05-27 00:20:00,94869.53,59.96,28.53,E
2020-05-28 03:10:00,94418.1,55.14,31.01,L
2020-05-27 02:40:00,94795.37,57.13,29.63,L
2020-06-04 05:35:00,94567.47,59.53,30.53,L
2020-05-29 00:30:00,95158.53,49.09,31.88,M
2020-05-14 22:35:00,94316.14,56.41,30.87,L
2020-05-28 10:00:00,94825.39,60.95,30.16,L
2020-05-29 00:55:00,95243.73,45.16,31.44,M
2020-05-27 03:50:00,94753.16,56.72,29.73,L
2020-06-04 21:25:00,94508.34,46.21,31.09,L
2020-05-28 06:25:00,94687.19,57.02,30.94,L
2020-05-24 12:55:00,94241.78,52.85,31.85,L
2020-05-25 16:55:00,93883.77,50.25,32.21,M
2020-06-01 05:40:00,95051.52,57.36,29.45,L
2020-05-26 02:25:00,94247.92,54.53,30.87,L
2020-06-04 02:05:00,94639.72,53.3,31.01,L
2020-05-26 01:25:00,94354.16,47.88,31.76,L
2020-06-01 07:45:00,95100.72,62.62,26.7,E
2020-06-01 03:20:00,95090.92,58.59,29.73,L
2020-05-26 03:00:00,94211.99,55.45,29.93,L
2020-06-04 13:25:00,94623.75,59.68,30.86,L
2020-06-04 22:25:00,94555.63,56.41,31.46,E
2020-06-04 18:40:00,94389.41,50.15,31.47,M
2020-05-28 03:00:00,94420.23,55.08,31.02,L
2020-05-14 21:15:00,94268.28,54.83,31.04,L
2020-06-04 14:35:00,94548.36,51.86,30.6,L
2020-05-28 06:05:00,94745.14,57.0,30.91,L
2020-05-26 11:15:00,94880.13,70.13,27.38,L
2020-05-29 05:00:00,95094.98,53.15,31.07,L
2020-05-25 17:25:00,93860.22,48.12,32.39,L
2020-05-28 05:50:00,94737.78,56.94,30.93,L
2020-05-25 16:35:00,93906.14,49.95,32.12,M
2020-06-04 04:40:00,94592.44,59.16,30.51,L
2020-06-01 03:50:00,95082.69,58.44,29.72,L
2020-05-28 09:40:00,94819.95,61.42,30.02,L
2020-06-04 14:30:00,94546.84,51.17,30.6,L
2020-05-15 00:15:00,94354.86,59.55,30.72,M
2020-06-04 18:30:00,94394.8,51.57,31.51,M
2020-06-01 09:25:00,95244.05,67.78,26.22,E
2020-06-04 02:25:00,94623.19,54.42,30.83,L
2020-05-25 22:00:00,94050.34,49.58,32.1,L
2020-06-04 05:50:00,94561.94,59.74,30.47,L
2020-06-04 03:30:00,94578.41,56.7,30.54,L
2020-05-29 07:35:00,95111.33,53.68,30.46,E
2020-05-29 06:55:00,95096.07,53.71,30.82,L
2020-05-28 11:50:00,94851.47,57.77,30.51,L
2020-05-28 04:00:00,94459.77,55.91,31.03,L
2020-06-04 23:00:00,94586.27,57.45,31.83,M
2020-06-04 14:10:00,94574.52,49.12,30.37,L
2020-05-24 11:55:00,94257.87,53.83,31.65,H
2020-05-25 23:50:00,94248.3,50.64,31.82,H
2020-06-04 11:20:00,94697.33,60.3,30.61,M
2020-05-29 06:35:00,95064.89,53.54,30.93,L
2020-05-29 05:35:00,95021.39,53.23,31.03,L
2020-05-29 00:40:00,95144.63,47.84,31.64,M
2020-05-29 07:30:00,95088.45,53.87,30.5,E
2020-05-26 00:40:00,94357.89,52.42,31.81,L
2020-06-01 06:00:00,95059.7,57.78,29.38,L
2020-05-27 05:40:00,94727.84,56.25,29.62,L
2020-05-29 06:00:00,95021.48,53.63,30.92,L
2020-06-04 09:05:00,94703.27,61.6,29.91,E
2020-06-01 12:50:00,95184.36,57.2,29.46,L
2020-05-15 00:20:00,94353.02,59.0,30.9,M
2020-05-29 03:50:00,94984.62,52.37,31.11,L
2020-05-27 09:40:00,94828.97,62.93,27.44,L
2020-05-25 23:20:00,94135.99,50.27,32.52,M
2020-05-26 04:50:00,94523.4,50.48,30.14,L
2020-06-01 02:25:00,95131.95,58.94,29.71,L
2020-05-26 03:50:00,94353.81,49.56,30.78,L
2020-06-04 04:55:00,94580.31,59.24,30.56,L
2020-06-04 19:50:00,94434.44,53.99,31.6,M
2020-06-01 07:20:00,95079.57,63.31,26.24,E
2020-05-26 00:15:00,94349.1,55.19,31.16,M
2020-05-29 03:35:00,94906.16,52.6,31.02,L
2020-05-28 10:15:00,94842.92,60.4,30.24,L
2020-05-28 03:50:00,94436.78,55.62,31.06,L
2020-05-14 21:55:00,94288.45,56.11,30.94,L
2020-05-25 19:05:00,93773.05,48.56,32.42,M
2020-05-25 16:00:00,93939.78,52.72,32.34,M
2020-05-28 10:50:00,94847.66,59.09,30.31,L
2020-06-01 06:55:00,95057.89,57.15,29.33,L
2020-05-28 05:30:00,94725.42,56.92,30.91,L
2020-05-26 23:40:00,94847.53,61.8,28.03,E
2020-05-29 04:10:00,95012.5,52.8,31.11,L
2020-05-29 05:50:00,95020.61,53.4,31.01,L
2020-05-27 03:30:00,94760.25,56.79,29.71,L
2020-06-04 05:15:00,94572.27,59.34,30.56,L
2020-06-04 16:00:00,94459.4,52.97,31.2,L
2020-06-04 14:50:00,94525.77,53.36,30.8,E
2020-05-28 10:35:00,94848.34,59.76,30.33,L
2020-05-14 22:45:00,94329.14,56.54,30.89,L
2020-06-04 13:10:00,94639.86,60.28,30.76,L
2020-06-04 01:45:00,94654.77,60.4,29.99,L
2020-05-28 04:20:00,94507.69,56.19,31.01,L
2020-05-27 01:55:00,94837.31,58.14,29.23,L
2020-05-25 16:15:00,93909.48,50.79,32.28,M
2020-05-24 11:50:00,94258.41,53.79,31.58,H
2020-05-26 01:15:00,94387.84,47.22,31.53,L
2020-05-28 02:45:00,94427.26,54.89,31.07,L
2020-05-29 08:25:00,95134.08,53.18,29.3,E
2020-05-25 20:00:00,93810.73,43.22,32.59,L
2020-05-27 02:35:00,94795.08,57.17,29.64,L
2020-05-25 16:40:00,93901.34,50.25,32.12,M
2020-05-24 11:45:00,94262.1,53.7,31.57,H
2020-05-27 08:00:00,94784.62,62.69,27.25,E
2020-05-27 00:05:00,94856.96,59.22,28.64,E
2020-06-04 05:00:00,94578.31,59.25,30.54,L
2020-06-01 07:15:00,95076.98,63.53,26.3,E
2020-05-29 08:20:00,95103.88,53.26,29.19,E
2020-05-27 05:50:00,94733.92,56.21,29.61,L
2020-05-24 13:05:00,94233.96,52.83,32.03,L
2020-06-04 04:10:00,94586.06,58.06,30.63,L
2020-05-24 12:05:00,94258.55,53.66,31.66,M
2020-06-04 14:45:00,94529.59,53.14,30.79,L
2020-05-25 20:40:00,93908.17,45.84,32.55,L
2020-06-01 03:10:00,95088.01,58.64,29.74,L
2020-05-29 05:45:00,95021.13,53.45,30.99,L
2020-05-31 19:50:00,94973.02,55.24,29.9,L
2020-06-04 19:10:00,94400.56,49.34,31.42,M
2020-05-28 10:40:00,94840.8,59.1,30.48,L
2020-05-25 20:10:00,93823.89,43.84,32.64,L
2020-05-14 22:05:00,94298.84,56.06,30.94,L
2020-05-25 23:25:00,94149.31,52.94,33.2,M
2020-05-27 06:15:00,94747.47,56.21,29.54,L
2020-05-25 20:55:00,93930.78,48.32,32.57,L
2020-05-15 00:55:00,94329.75,61.25,30.46,M
2020-05-26 05:55:00,94525.16,56.01,28.94,L
2020-06-04 03:40:00,94581.47,57.13,30.57,L
2020-05-26 06:25:00,94555.36,56.66,28.49,L
2020-06-01 11:20:00,95228.3,61.07,28.68,L
2020-06-04 22:30:00,94552.89,56.47,31.5,E
2020-06-04 19:45:00,94430.93,53.95,31.58,M
2020-06-04 08:20:00,94656.93,62.53,29.76,E
2020-05-28 12:30:00,94898.5,55.91,30.49,E
2020-05-27 05:15:00,94736.62,56.24,29.7,L
2020-06-04 12:40:00,94663.18,60.34,30.66,L
2020-06-04 02:50:00,94610.53,51.62,30.67,L
2020-05-27 07:20:00,94776.09,60.43,27.72,E
2020-05-27 08:30:00,94813.02,63.16,27.23,E
2020-05-14 22:30:00,94308.73,56.31,30.88,L
2020-05-26 01:50:00,94292.17,45.6,31.95,L
2020-05-28 12:55:00,94901.23,57.19,30.48,E
2020-05-27 06:20:00,94749.63,56.17,29.57,L
2020-05-26 03:30:00,94298.43,54.65,30.4,L
2020-05-31 19:30:00,94889.39,49.4,30.68,M
2020-05-27 06:55:00,94763.94,56.32,29.53,L
2020-05-27 04:15:00,94752.33,56.68,29.72,L
2020-05-26 06:30:00,94566.92,55.9,28.55,L
2020-05-28 05:10:00,94696.69,56.9,30.87,L
2020-05-26 00:30:00,94337.16,53.96,31.73,L
2020-05-26 01:55:00,94285.56,47.81,31.82,L
2020-06-04 12:50:00,94654.11,60.26,30.74,L
2020-05-25 21:25:00,94028.22,50.0,32.44,L
2020-05-27 03:15:00,94771.28,56.78,29.7,L
2020-06-04 10:35:00,94682.98,60.84,30.33,L
2020-06-01 02:55:00,95106.14,58.52,29.7,L
2020-05-27 04:40:00,94756.98,56.47,29.69,L
2020-05-25 16:50:00,93883.44,49.07,32.12,M
2020-05-29 00:25:00,95142.86,45.95,31.83,M
2020-05-27 07:00:00,94761.09,56.33,29.54,L
2020-05-26 02:50:00,94202.96,55.55,30.16,L
2020-06-04 12:35:00,94668.36,60.26,30.64,L
2020-05-28 11:40:00,94833.22,58.04,30.57,E
2020-06-04 14:05:00,94576.21,50.96,30.61,L
2020-06-04 02:45:00,94616.88,53.83,30.67,L
2020-05-29 08:30:00,95167.95,53.12,28.97,E
