date,pre,hum,tem,ven,occ
2020-05-14 21:08:30,94269.56,54.55,30.99,1.0,L
2020-05-14 21:09:00,94270.47,54.5,30.99,1.0,L
2020-05-14 21:09:30,94269.22,54.33,31.0,1.0,L
2020-05-14 21:10:00,94268.23,54.25,31.0,1.0,L
2020-05-14 21:10:30,94266.35,54.34,31.02,1.0,L
2020-05-14 21:11:00,94266.65,54.03,31.01,1.0,L
2020-05-14 21:11:30,94265.68,54.08,31.02,1.0,L
2020-05-14 21:12:00,94265.47,54.16,31.02,1.0,L
2020-05-14 21:12:30,94266.38,54.18,31.01,1.0,L
2020-05-14 21:13:00,94265.98,54.38,30.98,1.0,L
2020-05-14 21:13:30,94267.26,54.54,31.0,1.0,L
2020-05-14 21:14:00,94267.44,54.25,31.03,1.0,L
2020-05-14 21:14:30,94268.86,54.43,31.04,1.0,L
2020-05-14 21:15:00,94270.87,54.62,31.04,1.0,L
2020-05-14 21:15:30,94272.37,55.11,31.04,1.0,L
2020-05-14 21:16:00,94272.77,54.68,31.02,1.0,L
2020-05-14 21:16:30,94273.43,54.7,31.01,1.0,L
2020-05-14 21:17:00,94273.15,54.99,31.02,1.0,L
2020-05-14 21:17:30,94268.55,55.05,31.02,1.0,L
2020-05-14 21:18:00,94271.97,54.8,31.01,1.0,L
2020-05-14 21:18:30,94272.13,54.83,30.99,1.0,L
2020-05-14 21:19:00,94274.25,54.86,30.99,1.0,L
2020-05-14 21:19:30,94276.49,54.89,30.98,1.0,L
2020-05-14 21:20:00,94273.99,54.95,30.96,1.0,L
2020-05-14 21:20:30,94272.68,54.99,30.95,1.0,L
2020-05-14 21:21:00,94272.68,55.04,30.93,1.0,L
2020-05-14 21:21:30,94271.66,55.09,30.91,1.0,L
2020-05-14 21:22:00,94270.68,55.18,30.9,1.0,L
2020-05-14 21:22:30,94270.69,55.15,30.91,1.0,L
2020-05-14 21:23:00,94270.89,55.19,30.91,1.0,L
2020-05-14 21:23:30,94269.66,55.19,30.9,1.0,L
2020-05-14 21:24:00,94269.69,55.2,30.91,1.0,L
2020-05-14 21:24:30,94270.51,55.24,30.91,1.0,L
